Postcode,SuburbName,MeanCrimes,SumCrimes,Latitude,Longitude,DistCityCenter,Schools,Parks,Stations,Restaurants
3891,Koo Wee Rup North,6.8,34,-38.19505639042302,145.17396214801127,44.27357766499207,3,2,2,0
3920,HMAS Cerberus,10.4,52,-38.3923474,145.1726499,65.04579653603473,0,0,0,0
3928,Main Ridge,11.2,56,-38.19381,145.095732088415,41.98342523085636,3,1,2,0
3430,Clarkefield,20.0,100,-37.465415,144.76960275978,44.332088106563226,0,0,1,0
3916,"Merricks, Point Leo, Shoreham",32.6,163,-38.352358200000005,145.2029503,61.55191993098946,2,0,5,0
3813,"Tynong, Tynong North",32.6,163,-37.996833181865576,145.48434772940962,48.107525053669384,0,0,0,0
3833,Toorongo,50.8,254,-38.154582899999994,145.1973931,41.069061761604,3,4,0,0
3929,Flinders,56.2,281,-38.22801,145.061291145833,45.108617432733524,2,6,2,0
3937,"Red Hill, Red Hill South",58.2,291,-38.423935948101224,144.89063550570532,66.79071192882034,1,0,0,0
3763,Kinglake,72.4,362,-37.5327424,145.34113100000002,45.679875482135046,0,1,0,0
3812,"Maryknoll, Nar Nar Goon, Nar Nar Goon North",74.8,374,-38.06217577583628,145.6383107317831,63.37680878210714,0,0,1,0
3933,Moorooduc,86.6,433,-38.33932226018135,144.9752033071149,56.923113957462036,2,1,0,0
3926,"Balnarring, Balnarring Beach, Merricks Beach, Merricks North",90.0,450,-38.40234,144.965533868726,63.943174554022335,0,0,0,0
3808,Beaconsfield Upper,90.8,454,-38.024896980109865,145.432559044884,45.37940157800804,0,0,0,0
3211,Little River,93.0,465,-37.9639273,144.5009868,44.684423760307986,1,0,1,0
3775,"Christmas Hills, Dixons Creek, Steels Creek, Tarrawarra, Yarra Glen",110.8,554,-37.63760377210385,145.38036144478184,41.080360968963845,0,0,1,0
3942,Blairgowrie,112.0,560,-38.32282120000001,144.70042080000002,60.275313452146776,0,1,0,0
3938,McCrae,114.4,572,-38.373724100000004,144.8755654,61.43004480642456,2,3,0,0
3918,Bittern,136.0,680,-38.382085,145.194820337715,64.48360439374163,2,0,4,0
3793,Monbulk,151.0,755,-37.8291,145.43776504792402,40.22859691946886,0,0,0,0
3980,"Blind Bight, Tooradin, Warneet",155.8,779,-38.09845158270318,145.4734114230389,52.73561763125678,3,3,1,0
3919,Crib Point,189.8,949,-38.3723791869118,145.10413926669696,61.5670739833364,1,0,0,0
3781,"Cockatoo, Mount Burnett, Nangana",196.6,983,-37.915267012992786,145.45962950630292,43.23931891018111,2,3,6,0
3913,Tyabb,208.0,1040,-38.414546390370475,145.0764791838154,65.8336995205277,0,0,0,0
3911,"Langwarrin South, Baxter",225.2,1126,-38.263700799999995,145.1871641,51.79773496763506,2,0,1,0
3796,Mount Evelyn,294.0,1470,-37.84000063623869,145.68223814538075,61.71661906408704,0,0,0,0
3782,"Emerald, Avonsleigh, Clematis, Macclesfield",317.8,1589,-37.9527594,145.550276,51.97094591936332,1,3,2,0
3940,Capel Sound,330.2,1651,-38.3687445,144.77226819999998,62.87680147983056,0,0,0,0
3807,"Beaconsfield, Guys Hill",362.4,1812,-37.998734999999996,145.42521466494802,43.47172757545461,0,0,0,0
3809,"Officer, Dewhurst, Officer South",375.8,1879,-38.087467647030955,145.4839155141173,52.81847320408353,4,3,1,0
3139,"Beenak, Don Valley, Hoddles Creek, Launching Place, Seville, Seville East, Wandin East, Wandin North, Woori Yallock, Yellingbo",433.8,2169,-37.787259817106346,145.51131646762872,46.917697113243214,1,0,0,0
3934,Mount Martha,434.8,2174,-38.393164958136076,145.02781041334455,63.05019922826286,0,0,0,0
3930,Mount Eliza,528.8,2644,-38.245684999999995,145.11613426233,48.01456750628897,0,0,0,0
3936,"Dromana, Safety Beach, Arthurs Seat",616.8,3084,-38.359979100000004,144.9338501,59.35601792481944,2,1,0,0
3975,"Lynbrook, Lyndhurst",627.8,3139,-38.13530078088161,145.28269203654,43.318572365994285,1,3,1,0
3912,"Pearcedale, Somerville",744.2,3721,-38.30254689496352,145.14070984711626,54.676776349632384,0,1,0,0
3910,Langwarrin,974.4,4872,-38.21349767968574,145.20793920813446,47.35084032199241,3,0,1,0
3941,"Rye, St Andrews Beach, Tootgarook",988.2,4941,-38.344727299999995,144.74209380000002,61.17293189582385,2,2,0,0
3976,Hampton Park,1269.0,6345,-38.12328208701854,145.36015730300088,46.83680627294928,0,0,0,0
3915,"Hastings, Tuerong",1344.8,6724,-38.33757979999999,145.17732890000002,59.30372651226463,2,1,2,0
3939,"Rosebud, Boneo, Cape Schanck, Fingal",1475.0,7375,-38.39329228410156,144.83044037765956,64.26883611409278,0,2,0,0
3931,Mornington,1938.4,9692,-38.275467600000006,145.0307737,50.018533048540775,2,1,0,0
3810,"Pakenham, Pakenham South, Pakenham Upper, Rythdale",3742.0,18710,-38.058397764028335,145.5801013919536,58.57744337939759,1,0,1,0
3337,"Harkness, Kurunjang, Melton, Melton West, Toolern Vale",4064.4,20322,-37.65710554595593,144.57293265960283,40.502101478379814,7,7,0,0
3977,"Tooradin North, Botanic Ridge, Cranbourne, Cranbourne East, Cranbourne North, Cranbourne South, Junction Village, Cannons Creek, Devon Meadows, Sandhurst, Skye",5420.2,27101,-38.21647776782568,145.3437268493053,53.737871192568605,0,0,0,0
